year,Season,Month,State,Primary.Mode,Etiology,Serotype.or.Genotype,Etiology.Status,Setting,Illnesses,Hospitalizations,Info.on.Hospitalizations,Deaths,Info.on.Deaths,Food.Vehicle,Food.Contaminated.Ingredient,IFSAC.Category,Water.Exposure,Water.Type,Animal.Type,Animal.Type.Specify
2009,Winter,1,Minnesota,Person-to-person,Norovirus,unknown,Confirmed,Hotel/motel,21,0,19,0,19,,,,,,,
2009,Winter,1,Minnesota,Person-to-person,Norovirus,,Confirmed,Restaurant,24,0,24,0,24,,,,,,,
2009,Winter,1,Minnesota,Food,Norovirus,,Confirmed,,16,0,8,0,16,,,,,,,
2009,Winter,1,Minnesota,Food,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,,,,,,,
2009,Winter,1,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,21,0,21,0,21,cookies,,Multiple,,,,
2009,Winter,1,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,7,0,7,0,7,"salad, unspecified",,Multiple,,,,
2009,Winter,2,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,5,0,5,0,5,,,,,,,
2009,Winter,2,Minnesota,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,16,0,16,0,16,vegetables,,Multiple,,,,
2009,Winter,2,Minnesota,Food,Campylobacter related,,Confirmed,Restaurant - other or unknown type,11,2,11,0,11,"lettuce, unspecified",,Vegetable Row Crops,,,,
2009,Winter,2,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,69,0,69,0,69,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,38,4,38,0,38,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,36,2,36,0,36,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,47,6,47,0,47,,,,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,
2009,Winter,1,Alaska,Person-to-person,Norovirus,,Confirmed,,6,0,6,0,6,,,,,,,
2009,Winter,1,Alaska,Person-to-person,Norovirus,,Confirmed,,6,0,6,0,6,,,,,,,
2009,Winter,1,Alaska,Person-to-person,Norovirus,unknown,Confirmed,,12,0,12,0,12,,,,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,
2009,Winter,1,Alabama,Food,Bacillus cereus,,Confirmed,Restaurant - Sit-down dining,13,0,13,0,13,"rice, white",rice,Grains-Beans,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Restaurant,10,0,10,0,10,,,,,,,
2009,Winter,1,Illinois,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,26,1,26,0,26,"cake, chocolate",,Multiple,,,,
2009,Winter,1,Illinois,Food,Salmonella,Enteritidis,Confirmed,Grocery store; Other,7,2,7,0,7,,,,,,,
2009,Winter,1,Illinois,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,16,0,16,0,16,,,,,,,
2009,Winter,2,Illinois,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,
2009,Winter,2,Illinois,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,13,0,13,0,13,,,,,,,
2009,Spring,3,Illinois,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),22,1,16,0,16,chicken salad,,Multiple,,,,
2009,Winter,1,Iowa,Person-to-person,Norovirus,,Confirmed,Restaurant,56,2,56,0,56,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,,52,0,52,0,52,,,,,,,
2009,Winter,1,Pennsylvania,Food,Campylobacter related,,Confirmed,Other,9,1,8,0,8,"milk, whole milk unpasteurized",,Dairy,,,,
2009,Spring,3,Louisiana,Person-to-person,Norovirus,unknown,Confirmed,,18,0,18,0,18,,,,,,,
2009,Winter,1,Tennessee,Food,Norovirus,,Confirmed,Grocery store,8,1,8,0,8,cake,,Multiple,,,,
2009,Spring,3,Tennessee,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,9,0,9,0,9,"oysters, raw",oysters,Mollusks,,,,
2009,Spring,3,New York,Food,Shigella,,Confirmed,Restaurant - Sit-down dining,96,0,96,0,96,multiple foods,lemon; lime,Fruits,,,,
2009,Winter,1,Massachusetts,Food,Salmonella,Braenderup,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,,
2009,Winter,1,Massachusetts,Food,Escherichia coli,O157:H7,Confirmed,Private home/residence,3,2,3,0,3,"ground beef, hamburger",,Beef,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Hospital,11,0,0,0,0,,,,,,,
2009,Winter,1,Arkansas,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,20,1,20,0,20,,,,,,,
2009,Spring,3,Ohio,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Hospital,7,0,0,0,7,,,,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,41,2,41,0,41,,,,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,71,1,71,0,71,,,,,,,
2009,Winter,2,Ohio,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,25,2,25,0,25,,,,,,,
2009,Winter,2,New York,Food,Norovirus,,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),24,0,24,0,24,lettuce,lettuce,Vegetable Row Crops,,,,
2009,Winter,2,Massachusetts,Food,Salmonella,"I 4,[5],12:i:-",Confirmed,,2,0,1,0,2,,,,,,,
2009,Winter,2,Iowa,Person-to-person,Norovirus,,Confirmed,School/college/university,38,0,38,0,38,,,,,,,
2009,Winter,1,Tennessee,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,22,4,22,0,22,"oysters, raw",,Mollusks,,,,
2009,Winter,1,Tennessee,Food,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,6,0,6,,,,,,,
2009,Winter,1,Florida,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,24,0,24,0,24,"sandwich, wrap; sandwich, wrap",,Multiple,,,,
2009,Winter,2,New York,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,51,1,51,0,51,"ground beef, gravy, toast, egg dish",,Multiple,,,,
2009,Winter,2,Florida,Food,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,13,2,13,0,13,"cookies, unspecified",,Multiple,,,,
2009,Winter,1,Tennessee,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,12,3,12,0,12,,,,,,,
2009,Winter,1,Tennessee,Person-to-person,Shigella,,Confirmed,Child day care,6,1,6,0,6,,,,,,,
2009,Winter,2,Tennessee,Person-to-person,Norovirus,unknown,Confirmed,Restaurant,5,0,5,0,5,,,,,,,
2009,Winter,2,Tennessee,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,84,0,84,0,84,,,,,,,
2009,Winter,1,Ohio,Person-to-person,Norovirus,,Confirmed,Hospital,18,0,0,0,18,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,84,0,25,0,25,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,25,0,6,0,6,,,,,,,
2009,Spring,3,New York,Food,Staphylococcus,,Confirmed,Private home/residence,20,0,20,0,20,chicken yak,,Multiple,,,,
2009,Winter,2,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,41,0,26,0,26,,,,,,,
2009,Winter,1,Ohio,Animal Contact,Cryptosporidium,,Confirmed,,4,1,4,0,4,,,,,,Cattle,"Cattle, calf"
2009,Winter,2,Wyoming,Food,Norovirus,,Confirmed,,13,0,13,0,13,,,,,,,
2009,Winter,2,Arkansas,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,36,0,36,0,36,,,,,,,
2009,Winter,1,Wyoming,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,31,0,31,0,31,,,,,,,
2009,Spring,3,Wyoming,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,1,46,0,46,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,6,0,0,0,6,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,120,0,0,0,120,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,16,0,0,0,16,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,119,1,119,0,119,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,76,0,76,0,76,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,175,0,0,0,175,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,
2009,Spring,3,Hawaii,Indeterminate/Other/Unknown,Norovirus,unknown,Confirmed,,41,0,41,0,41,,,,,,,
2009,Spring,3,Illinois,Food,Norovirus,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served); School/college/university,189,1,70,0,70,"ice; lemonade, unspecified",,Multiple,,,,
2009,Spring,3,Illinois,Food,Salmonella,Typhimurium,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,
2009,Spring,3,Illinois,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,27,0,27,0,27,,,,,,,
2009,Spring,4,Illinois,Food,Clostridium,,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),24,0,24,0,24,"spaghetti, unspecified",,Multiple,,,,
2009,Spring,3,Illinois,Food,Salmonella,Enteritidis,Confirmed,Grocery store,5,0,5,0,5,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,
2009,Winter,1,Wisconsin,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,16,0,16,0,16,fruit,,Fruits,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,54,0,54,0,54,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,,18,0,0,0,0,,,,,,,
2009,Winter,1,Wisconsin,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,
